               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.040686,             0.02599,             0.03775,              0.2745,             0.31577,             0.17808,            0.078075,            0.021804,           0.0061797,            0.030644,           0.0033319,           0.0033319,            0.070013
                   1,            0.029447,            0.015993,            0.035151,             0.37522,             0.42029,             0.28633,              0.1379,            0.022979,           0.0047288,            0.028078,           0.0066638,           0.0066638,            0.040011
                   2,            0.028102,            0.014613,             0.03391,              0.3874,             0.50234,             0.33703,             0.17386,            0.020168,           0.0043733,            0.023629,           0.0099897,           0.0099897,            0.010004
                   3,            0.025063,            0.014272,            0.030873,             0.48109,             0.66629,              0.4817,             0.24363,            0.018628,           0.0046698,            0.021495,             0.00998,             0.00998,             0.00998
                   4,            0.022005,             0.01379,            0.028138,             0.53937,             0.66475,             0.55126,             0.31365,            0.018671,           0.0043667,            0.019898,             0.00998,             0.00998,             0.00998
                   5,            0.021628,            0.013918,            0.026785,             0.65396,             0.65965,             0.58001,             0.34889,            0.014986,           0.0054488,            0.016527,           0.0099645,           0.0099645,           0.0099645
                   6,            0.020257,            0.013542,            0.025524,             0.64382,             0.65246,             0.61179,             0.33003,            0.017645,            0.004747,            0.014036,           0.0099446,           0.0099446,           0.0099446
                   7,            0.019455,            0.013211,            0.023963,              0.4998,             0.70464,             0.66524,             0.32283,            0.019519,           0.0043868,             0.01419,           0.0099203,           0.0099203,           0.0099203
                   8,            0.018845,            0.012518,            0.022025,             0.64981,             0.74304,             0.65364,             0.30427,            0.020484,            0.004118,            0.011964,           0.0098916,           0.0098916,           0.0098916
                   9,            0.018692,            0.012654,            0.021318,             0.52924,             0.66953,             0.63361,             0.30085,            0.018927,            0.004487,            0.011955,           0.0098586,           0.0098586,           0.0098586
                  10,            0.018478,            0.012306,            0.020278,             0.51929,             0.74365,             0.63405,             0.32905,            0.021036,           0.0043109,              0.0106,           0.0098213,           0.0098213,           0.0098213
                  11,            0.018067,             0.01251,            0.019779,             0.60757,             0.77705,             0.72099,             0.35778,            0.018625,           0.0043106,            0.010595,           0.0097798,           0.0097798,           0.0097798
                  12,            0.017917,            0.012457,            0.019041,             0.62134,             0.81751,             0.72386,             0.36018,            0.018307,           0.0045792,             0.01049,            0.009734,            0.009734,            0.009734
                  13,             0.01738,            0.011775,             0.01783,              0.6771,             0.75586,             0.73791,             0.40419,            0.017172,           0.0048781,            0.010931,            0.009684,            0.009684,            0.009684
                  14,            0.017205,            0.012489,            0.017337,             0.75714,              0.8433,             0.76973,             0.39868,            0.018328,           0.0037578,           0.0087047,           0.0096299,           0.0096299,           0.0096299
                  15,            0.017481,            0.011962,            0.017425,             0.78631,             0.78702,             0.83117,             0.50341,            0.014378,           0.0037365,           0.0087787,           0.0095717,           0.0095717,           0.0095717
                  16,            0.016886,            0.011997,            0.017208,             0.75202,             0.83205,             0.76882,             0.42589,            0.016945,           0.0043483,           0.0096497,           0.0095095,           0.0095095,           0.0095095
                  17,            0.017118,            0.012184,            0.016577,             0.78589,             0.91624,             0.80179,             0.51921,            0.013634,           0.0039471,           0.0075508,           0.0094434,           0.0094434,           0.0094434
                  18,            0.016568,            0.011709,            0.015803,             0.63074,             0.79827,             0.75428,             0.43163,              0.0164,           0.0046969,           0.0082993,           0.0093733,           0.0093733,           0.0093733
                  19,            0.016679,            0.012201,            0.016492,             0.69395,             0.77135,             0.71847,             0.46027,            0.013713,           0.0043108,            0.012022,           0.0092995,           0.0092995,           0.0092995
                  20,            0.016375,            0.011503,            0.015294,             0.69751,             0.82382,             0.79681,             0.43325,             0.01678,           0.0050965,           0.0072575,           0.0092219,           0.0092219,           0.0092219
                  21,            0.016283,            0.011523,            0.015314,             0.63429,              0.7884,              0.7294,             0.38372,            0.018425,           0.0060373,           0.0080242,           0.0091406,           0.0091406,           0.0091406
                  22,            0.015641,            0.010993,            0.014629,             0.78589,             0.83636,               0.845,             0.50656,            0.016402,           0.0043973,           0.0067358,           0.0090557,           0.0090557,           0.0090557
                  23,            0.015993,            0.011712,            0.014441,             0.76728,             0.89721,             0.81152,             0.41482,            0.017848,           0.0041671,           0.0075478,           0.0089673,           0.0089673,           0.0089673
                  24,            0.016005,            0.011469,            0.015076,             0.71362,             0.85252,             0.79284,             0.47768,            0.015582,            0.004769,           0.0083761,           0.0088755,           0.0088755,           0.0088755
                  25,            0.015859,            0.011387,            0.014956,             0.75608,             0.92008,             0.81748,              0.4764,            0.017201,           0.0039296,           0.0070696,           0.0087804,           0.0087804,           0.0087804
                  26,            0.015485,             0.01157,            0.015585,             0.78458,             0.84271,             0.85067,             0.50959,             0.01489,           0.0037921,            0.006851,            0.008682,            0.008682,            0.008682
                  27,             0.01535,            0.011093,            0.014808,             0.76295,             0.90467,             0.84575,             0.48509,            0.016909,           0.0033784,           0.0078183,           0.0085805,           0.0085805,           0.0085805
                  28,            0.015508,            0.011137,            0.013978,             0.76765,             0.92899,             0.82485,             0.47171,            0.016397,           0.0035755,           0.0064791,           0.0084759,           0.0084759,           0.0084759
                  29,            0.015102,            0.011088,            0.014057,             0.77691,             0.89109,             0.85488,             0.50514,            0.015951,           0.0036272,           0.0070869,           0.0083684,           0.0083684,           0.0083684
                  30,            0.015021,            0.011008,            0.013956,              0.7695,             0.84024,              0.7912,             0.43759,            0.016971,           0.0038113,             0.01097,           0.0082581,           0.0082581,           0.0082581
                  31,             0.01505,            0.011072,            0.013496,             0.75881,             0.84343,             0.81485,             0.45359,            0.017483,           0.0037187,           0.0095011,            0.008145,            0.008145,            0.008145
                  32,            0.014921,            0.011406,            0.013327,             0.77169,               0.833,             0.83425,             0.52956,            0.014398,           0.0032601,           0.0098508,           0.0080294,           0.0080294,           0.0080294
                  33,            0.014695,            0.011077,            0.013438,             0.72799,             0.89715,              0.8276,             0.54257,            0.013531,           0.0033493,           0.0080491,           0.0079112,           0.0079112,           0.0079112
                  34,            0.014805,             0.01098,            0.013513,              0.7045,             0.85064,              0.7783,             0.50451,            0.013669,           0.0034353,            0.011506,           0.0077907,           0.0077907,           0.0077907
                  35,            0.014588,            0.011222,             0.01333,             0.75625,             0.84826,             0.83915,              0.5263,            0.015014,           0.0036119,           0.0081794,           0.0076679,           0.0076679,           0.0076679
                  36,            0.014448,            0.010985,            0.013273,             0.72629,             0.85983,             0.85384,             0.53676,            0.014309,           0.0036319,            0.010095,            0.007543,            0.007543,            0.007543
                  37,            0.014339,            0.010716,            0.012759,             0.79977,             0.86312,             0.85402,              0.5555,            0.013222,           0.0032228,           0.0071451,            0.007416,            0.007416,            0.007416
                  38,            0.014839,            0.011145,            0.012162,             0.64679,              0.8166,             0.79952,             0.50464,            0.014577,           0.0032135,            0.015515,           0.0072872,           0.0072872,           0.0072872
                  39,            0.014704,            0.010909,            0.011637,             0.80041,              0.7775,             0.77769,             0.50477,            0.014506,           0.0035149,            0.013936,           0.0071566,           0.0071566,           0.0071566
                  40,            0.014529,            0.010985,            0.011557,              0.8134,             0.81749,             0.82993,             0.47128,             0.01643,           0.0037059,            0.011359,           0.0070243,           0.0070243,           0.0070243
                  41,            0.014436,            0.010999,             0.01089,              0.7665,             0.75853,             0.80668,             0.49106,            0.014829,           0.0036862,            0.014525,           0.0068906,           0.0068906,           0.0068906
                  42,            0.014717,            0.010929,            0.011495,             0.67867,             0.72808,             0.74494,             0.46849,            0.013625,           0.0033486,            0.023882,           0.0067555,           0.0067555,           0.0067555
                  43,            0.014505,             0.01074,            0.011129,             0.81571,             0.70792,             0.82971,             0.48942,             0.01508,           0.0034683,            0.020546,           0.0066191,           0.0066191,           0.0066191
                  44,            0.014353,             0.01036,             0.01091,             0.83361,             0.68225,             0.75101,             0.46972,            0.015089,           0.0031984,            0.022382,           0.0064816,           0.0064816,           0.0064816
                  45,            0.014028,            0.010692,            0.010179,             0.69823,             0.63135,             0.67062,             0.37251,            0.017555,           0.0038588,            0.025603,           0.0063432,           0.0063432,           0.0063432
                  46,             0.01415,            0.011307,            0.010555,             0.73765,             0.67296,              0.7318,             0.47351,            0.013543,           0.0037239,            0.022424,            0.006204,            0.006204,            0.006204
                  47,            0.014151,            0.010839,           0.0099344,             0.72956,             0.67725,             0.70554,             0.46704,            0.012541,           0.0036329,            0.025035,            0.006064,            0.006064,            0.006064
                  48,             0.01419,            0.010968,           0.0097225,             0.80435,             0.78475,              0.8012,             0.53886,            0.012821,           0.0036487,            0.016886,           0.0059235,           0.0059235,           0.0059235
                  49,            0.013878,            0.010966,            0.010004,             0.80427,             0.66905,             0.75421,             0.50874,            0.013213,           0.0033762,            0.019764,           0.0057826,           0.0057826,           0.0057826
                  50,            0.013951,            0.010995,           0.0098629,             0.75161,             0.68977,             0.80067,              0.5263,             0.01374,           0.0034196,            0.018187,           0.0056413,           0.0056413,           0.0056413
                  51,            0.013627,            0.010339,           0.0095552,             0.79604,             0.84844,             0.83009,             0.58902,            0.011993,           0.0032047,            0.014064,              0.0055,              0.0055,              0.0055
