               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.050404,            0.027066,            0.046795,              0.1447,             0.59744,              0.1999,            0.095801,            0.022311,           0.0059518,            0.036424,           0.0033277,           0.0033277,             0.07005
                   1,            0.037327,            0.015775,            0.043116,             0.36922,             0.54054,             0.35482,             0.20797,            0.020539,           0.0042848,            0.031043,           0.0065144,           0.0065144,            0.039904
                   2,            0.036112,            0.015215,            0.040156,             0.24552,             0.75022,             0.43453,             0.16105,            0.024409,           0.0042454,            0.027319,           0.0091355,           0.0091355,           0.0091915
                   3,            0.031669,            0.013977,            0.035189,             0.36193,              0.6455,              0.4761,             0.22242,            0.023432,           0.0033968,            0.023723,            0.008145,            0.008145,            0.008145
                   4,            0.028242,            0.013396,            0.031929,             0.48651,             0.68319,             0.57142,             0.31802,            0.019777,           0.0035849,            0.020618,            0.008145,            0.008145,            0.008145
                   5,            0.025068,            0.012769,            0.029862,             0.50606,             0.71592,             0.65234,             0.41044,            0.016946,             0.00322,            0.018112,           0.0068906,           0.0068906,           0.0068906
                   6,            0.023804,            0.012659,             0.02794,             0.61192,             0.84967,             0.70818,             0.43868,            0.017699,            0.003063,            0.013339,              0.0055,              0.0055,              0.0055
                   7,            0.021621,            0.011543,            0.025457,             0.66031,             0.78145,             0.73846,             0.49049,            0.015768,           0.0033592,            0.012218,           0.0041094,           0.0041094,           0.0041094
                   8,            0.020046,            0.011979,            0.024808,             0.65033,             0.84795,             0.74434,             0.50249,            0.015211,           0.0029457,            0.012601,            0.002855,            0.002855,            0.002855
                   9,            0.019402,            0.011346,            0.023166,             0.67243,             0.87207,              0.7613,             0.54112,            0.013937,           0.0029294,            0.011089,           0.0018594,           0.0018594,           0.0018594
